LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;UnitKerja
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;1.88;0;0;31;0;5
0;0;0;0;0;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;5
0;0;0;0;0;0;4
0;7.58;0;0;10;0;4
451;123.99;46.25;133;282;684;7
0;0;0;0;0;0;7
0;10.34;0;0;9;0;2
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;11.8;0;0;4;3;2
65;74.7;41.75;167;153;47;7
16;0.04;0.58;10;7;0;7
0;0;0;0;0;0;2
0;0;0;0;0;0;7
0;0;0;0;0;0;1
0;0;0;0;0;0;4
0;55.16;0;0;13;0;1
0;0;0;0;0;0;2
0;0;0;0;0;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;2
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;2
0;0;0;0;0;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;6
0;0;0;0;0;0;5
0;6.64;0;5;24;0;5
0;0;0;0;0;0;7
0;0;0;0;0;0;7
3;83.25;30.05;113;560;610;7
0;0;0;1;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;2.46;0;0;1;0;6
8;0.29;0.1;6;7;10;7
0;5.45;0;0;15;1;7
0;6.16;0;0;0;0;6
8;260.23;12.08;144;1596;48;2
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0.1;2.6;6;5;0;7
0;0;0;0;0;0;7
0;6.25;0;0;31;7;2
0;0;0;0;0;0;6
0;0;0;0;0;0;4
0;11.11;0;0;0;0;7
0;0;0;0;0;0;2
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;4
0;0;0;0;0;0;7
0;1.41;0.08;2;10;0;6
4;48.74;7.33;13;43;68;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;44.82;0;0;3;0;6
5;6.23;0;2;6;0;6
0;1.41;0.08;2;10;0;2
0;0;0;0;0;0;7
0;43.9;0;0;3;47;2
0;0;0;0;0;0;7
0;23.34;0;0;2;0;4
0;2.96;5;9;27;1;2
0;2.01;0;0;0;0;7
0;2.05;0;0;0;0;7
39;21.16;0;8;35;261;7
0;0;0;0;0;0;7
171;68.08;34.67;149;474;113;7
0;0;0;0;0;0;7
10;23.99;1;4;190;62;1
0;0;0;0;0;0;7
0;0.21;2.5;10;14;1;7
0;11.42;21.33;28;50;0;4
0;7.72;0;0;0;1;2
0;0.26;0.25;0;4;0;6
0;8.38;0;0;0;0;2
0;0;0;0;0;0;7
0;0.55;0;0;15;0;5
0;0;0;0;0;0;6
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;47.91;0;1;172;31;2
0;9.45;0;0;0;0;4
0;26;0;0;80;8;6
0;11.9;0;0;11;1;2
0;102.21;107.43;114;539;0;4
346;197.04;15.35;242;814;439;2
0;6.11;0;0;0;0;5
1;160.75;43.5;259;578;837;2
0;174.06;0;0;569;10;2
0;0.03;0;0;0;0;2
0;90.22;0;0;502;1;2
1104;320.77;449.75;1159;1563;2123;2
451;71.28;127.59;134;174;123;2
0;7.86;2.32;45;279;6;2
0;2.97;0;0;0;0;2
0;12.46;0;1;0;5;2
0;31.11;0;0;7;0;3
0;35.18;0;0;69;0;1
0;73.08;0;0;101;10;2
0;42.52;0;0;0;0;6
0;9.62;0;0;0;0;1
0;22.58;0;0;10;0;4
0;127.64;6.58;23;23;30;2
0;402.95;0;0;459;10;2
0;40.1;0;0;214;0;2
0;27.53;0;0;10;0;4
0;6.56;0;0;0;0;7
0;17.07;0;0;0;0;1
1;32.56;5;5;58;0;1
0;0;0;0;0;0;7
0;1.07;0;0;4;0;7
0;0;0;0;0;0;7
66;566.17;3.5;4;1759;24;2
0;18.85;0;1;123;0;7
0;0.72;0;0;0;10;7
0;0.04;0;0;0;1;6
0;0;0;0;0;0;7
12;0;0;0;0;0;7
0;0;0;0;0;0;7
0;13.32;0;0;107;0;1
0;0.17;0.13;9;28;0;5
0;10.33;0;0;0;0;6
0;0;0;0;0;0;7
0;0;0;0;0;0;6
0;0;0;0;0;0;6
0;0;0;0;0;0;7
0;49.16;2;7;214;181;7
0;35.06;0;0;118;265;2
0;0;0;0;0;0;7
0;0;0;0;0;0;6
0;0;0;0;0;0;6
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;2
0;0;0;0;0;0;6
0;0;0;0;0;0;7
0;0;0;0;0;0;7
0;0;0;0;0;0;3
